y,ds
97,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
98,2023-04-07
97,2023-04-07
98,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
96,2023-04-07
96,2023-04-07
95,2023-04-07
95,2023-04-07
94,2023-04-07
94,2023-04-07
94,2023-04-07
95,2023-04-07
95,2023-04-07
95,2023-04-07
95,2023-04-07
95,2023-04-07
95,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
95,2023-04-07
95,2023-04-07
95,2023-04-07
95,2023-04-07
95,2023-04-07
95,2023-04-07
